URUT,R101,R102,R105,FOOD,NONFOOD,EXPEND,KAPITA,KALORI_KAP,PROTE_KAP,LEMAK_KAP,KARBO_KAP,R1802,R1810A,R2001B,R2001C,R2001D,R2001F,R2001G,R2001H,R2001K,R2001M,Banyak_Anak
515874,32,76,1,3149185.714285715,7122925,10272110.71428571,10272110.71428571,4004.704999999999,131.5641428571428,135.9911428571428,368.6838571428571,1,1,1,1,5,5,5,5,5,1,0
515908,32,76,1,2766428.571428571,23083666.66666666,25850095.23809523,8616698.412698412,1964.790224489795,53.50973537414967,34.78764557823129,297.8664761904762,1,4,1,5,5,1,5,5,5,1,1
515916,32,76,1,2155714.285714286,2080666.666666666,4236380.952380953,1059095.238095238,2070.627841836734,53.53438571428569,47.37225459183672,301.1600892857143,3,5,1,5,5,5,5,1,5,5,2
515921,32,76,1,3377999.999999999,2440208.333333333,5818208.333333332,1939402.777777777,2049.894965986394,61.87011904761904,43.20201020408163,304.5770952380951,1,2,1,5,5,5,5,1,5,1,1
515947,32,76,1,3610714.285714285,2237916.666666667,5848630.952380953,1949543.650793651,2882.192142857143,98.87883333333336,61.48104761904762,401.3816904761903,1,4,1,5,5,5,5,1,5,1,1
515975,32,76,1,4883142.857142856,4665999.999999999,9549142.857142854,2387285.714285713,1895.730765306122,61.76406377551022,44.36598979591836,252.4466607142856,1,5,1,1,5,1,5,1,5,1,1
515983,32,76,1,2850857.142857142,3128066.666666667,5978923.809523809,1494730.952380952,2065.900778061225,59.36581632653062,46.81602295918367,293.4428571428571,1,4,1,1,5,1,5,1,5,1,2
515991,32,76,1,4278857.142857141,8612833.333333332,12891690.47619047,6445845.238095236,2993.654642857142,99.64121428571428,90.24857143,391.3851785714285,1,1,1,1,1,5,1,1,1,1,0
515997,32,76,1,2091428.571428571,1771166.666666666,3862595.238095237,643765.873,1918.307738095237,52.02136904761905,30.65623809523808,277.5292261904762,2,2,1,5,5,5,5,1,5,5,4
516035,32,76,1,1607999.999999999,3469083.333333333,5077083.333333333,5077083.333333333,2921.936142857142,102.0153714285713,55.4347,278.4763571428571,1,4,1,5,5,5,5,5,5,1,0
